date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:38	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22569c9f3d-247c%22	http://onstore-apphack.github.io/robots.txt		(from )
20:21:38	1793/1793	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/feedback/	C:/Users/akshat/Desktop/feed/onstore-apphack.github.io/feedback/index.html	(from )
20:21:39	5244/5244	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/feedback/css/style.css	C:/Users/akshat/Desktop/feed/onstore-apphack.github.io/feedback/css/style.css	(from http://onstore-apphack.github.io/feedback/)
20:21:42	27000/27000	---MCZ	200	added ('OK')	text/css	etag:W/%22e08f41f6951957bd3bee0edf2b6ffcd7%22	http://netdna.bootstrapcdn.com/font-awesome/3.2.0/css/font-awesome.css	C:/Users/akshat/Desktop/feed/netdna.bootstrapcdn.com/font-awesome/3.2.0/css/font-awesome.css	(from http://onstore-apphack.github.io/feedback/)
20:21:44	14580/14580	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/feedback/js/modernizr.js	C:/Users/akshat/Desktop/feed/onstore-apphack.github.io/feedback/js/modernizr.js	(from http://onstore-apphack.github.io/feedback/)
20:21:48	1510/1510	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/feedback/js/index.js	C:/Users/akshat/Desktop/feed/onstore-apphack.github.io/feedback/js/index.js	(from http://onstore-apphack.github.io/feedback/)
20:21:50	97120/97120	---M-Z	200	added ('OK')	application/x-javascript	etag:%225701d804-83c8%22	http://codepen.io/assets/libs/fullpage/jquery.js	C:/Users/akshat/Desktop/feed/codepen.io/assets/libs/fullpage/jquery.js	(from http://onstore-apphack.github.io/feedback/)
20:21:50	866/866	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/feedback/js/alert.js	C:/Users/akshat/Desktop/feed/onstore-apphack.github.io/feedback/js/alert.js	(from http://onstore-apphack.github.io/feedback/)
20:22:03	64978/64978	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20May%202013%2018:47:27%20GMT	http://thekitemap.com/images/feedback-img.jpg	C:/Users/akshat/Desktop/feed/thekitemap.com/images/feedback-img.jpg	(from http://onstore-apphack.github.io/feedback/css/style.css)
