date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:00	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22569c9f3d-247c%22	http://onstore-apphack.github.io/robots.txt		(from )
20:20:00	1849/1849	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/issue/	C:/Users/akshat/Desktop/issue/onstore-apphack.github.io/issue/index.html	(from )
20:20:01	5313/5313	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/issue/css/style.css	C:/Users/akshat/Desktop/issue/onstore-apphack.github.io/issue/css/style.css	(from http://onstore-apphack.github.io/issue/)
20:20:04	27000/27000	---MCZ	200	added ('OK')	text/css	etag:W/%22e08f41f6951957bd3bee0edf2b6ffcd7%22	http://netdna.bootstrapcdn.com/font-awesome/3.2.0/css/font-awesome.css	C:/Users/akshat/Desktop/issue/netdna.bootstrapcdn.com/font-awesome/3.2.0/css/font-awesome.css	(from http://onstore-apphack.github.io/issue/)
20:20:04	14580/14580	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/issue/js/modernizr.js	C:/Users/akshat/Desktop/issue/onstore-apphack.github.io/issue/js/modernizr.js	(from http://onstore-apphack.github.io/issue/)
20:20:07	1504/1504	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/issue/js/index.js	C:/Users/akshat/Desktop/issue/onstore-apphack.github.io/issue/js/index.js	(from http://onstore-apphack.github.io/issue/)
20:20:10	97120/97120	---M-Z	200	added ('OK')	application/x-javascript	etag:%225701d804-83c8%22	http://codepen.io/assets/libs/fullpage/jquery.js	C:/Users/akshat/Desktop/issue/codepen.io/assets/libs/fullpage/jquery.js	(from http://onstore-apphack.github.io/issue/)
20:20:10	866/866	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Aug%202015%2000:30:05%20GMT	http://onstore-apphack.github.io/issue/js/alert.js	C:/Users/akshat/Desktop/issue/onstore-apphack.github.io/issue/js/alert.js	(from http://onstore-apphack.github.io/issue/)
20:21:09	453971/453971	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2015%20Aug%202014%2015:59:42%20GMT	http://blogs-images.forbes.com/centurylink/files/2014/08/mobile-shopping.jpg	C:/Users/akshat/Desktop/issue/blogs-images.forbes.com/centurylink/files/2014/08/mobile-shopping.jpg	(from http://onstore-apphack.github.io/issue/css/style.css)
